Symbol,Current Price,Previous Close,Percent Change,Stock Volume,Ten Day Average,Market Cap
META,665.75,681.58,-2.3225446756066845,27548000,20876240,1696002269293.75
AAPL,336.1300048828125,336.13,1.4526559677944467e-06,86433100,49158440,4905541794660.645
MU,1015.7999877929688,982.91,3.3461850823543138,35656400,25917470,1147237548999.2625
